kopi,coffee,Food & Drinks,Drinks,25
minuman bersoda,coke,Food & Drinks,Drinks,26
cokelat panas,hot chocolate,Food & Drinks,Drinks,27
minuman,drink,Food & Drinks,Drinks,28
susu,milk,Food & Drinks,Drinks,29
jus jeruk,orange juice,Food & Drinks,Drinks,31
soda,soda,Food & Drinks,Drinks,32
teh,tea,Food & Drinks,Drinks,33
air,water,Food & Drinks,Drinks,34
air kelapa,coconut water,Food & Drinks,Drinks,1854
roti,bread,Food & Drinks,Food,121
sarapan,breakfast,Food & Drinks,Food,122
buah-buahan,fruits,Food & Drinks,Food,123
keju,cheese,Food & Drinks,Food,124
telor,egg,Food & Drinks,Food,125
ikan,fish,Food & Drinks,Food,126
sup,soup,Food & Drinks,Food,128
daging,meat,Food & Drinks,Food,132
gula,sugar,Food & Drinks,Food,134
salad,salad,Food & Drinks,Food,135
produk susu,dairy,Food & Drinks,Food,2879
makan siang,lunch,Food & Drinks,Food,2880
makan malam,dinner,Food & Drinks,Food,2881
bawa pulang,takeout,Food & Drinks,Food,2892
plum,plum,Food & Drinks,Fruits,678
kiwi,kiwi,Food & Drinks,Fruits,679
melon,honeydew melon,Food & Drinks,Fruits,681
persik,peach,Food & Drinks,Fruits,682
ceri,cherry,Food & Drinks,Fruits,683
apel,apple,Food & Drinks,Fruits,685
anggur,grape,Food & Drinks,Fruits,690
semangka,watermelon,Food & Drinks,Fruits,691
pir,pear,Food & Drinks,Fruits,692
pisang,banana,Food & Drinks,Fruits,694
melon jingga,cantaloupe,Food & Drinks,Fruits,3303
jamur,mushroom,Food & Drinks,Vegetables,129
brokoli,broccoli,Food & Drinks,Vegetables,697
kol,cabbage,Food & Drinks,Vegetables,698
kembang kol,cauliflower,Food & Drinks,Vegetables,700
jagung,corn,Food & Drinks,Vegetables,701
timun,cucumber,Food & Drinks,Vegetables,702
selada,lettuce,Food & Drinks,Vegetables,704
peterseli,parsley,Food & Drinks,Vegetables,706
lobak,radish,Food & Drinks,Vegetables,709
asparagus,asparagus,Food & Drinks,Vegetables,3186
kacang polong,pea,Food & Drinks,Vegetables,3187
kubis Brussel,brussels sprout,Food & Drinks,Vegetables,3188
bon,bill,Food & Drinks,Restaurant,730
botol,bottle,Food & Drinks,Restaurant,731
bumbu,condiments,Food & Drinks,Restaurant,733
makanan pencuci mulut,dessert,Food & Drinks,Restaurant,734
menu,menu,Food & Drinks,Restaurant,738
serbet,napkin,Food & Drinks,Restaurant,739
makanan pinggir jalan,street food,Food & Drinks,Restaurant,740
taplak meja,tablecloth,Food & Drinks,Restaurant,741
tip,tip,Food & Drinks,Restaurant,742
tusuk gigi,toothpick,Food & Drinks,Restaurant,743
nampan,tray,Food & Drinks,Restaurant,744
mentega,butter,Food & Drinks,More_Foods,765
ham,ham,Food & Drinks,More_Foods,768
hamburger,hamburger,Food & Drinks,More_Foods,769
hotdog,hotdog,Food & Drinks,More_Foods,771
salmon,salmon,Food & Drinks,More_Foods,776
sosis,sausage,Food & Drinks,More_Foods,777
yogurt,yogurt,Food & Drinks,More_Foods,779
kemangi,basil,Food & Drinks,Spices_and_Sweets,848
kue,cake,Food & Drinks,Spices_and_Sweets,850
cabai,chili,Food & Drinks,Spices_and_Sweets,851
cokelat,chocolate,Food & Drinks,Spices_and_Sweets,852
kayu manis,cinnamon,Food & Drinks,Spices_and_Sweets,853
kue kering,cookie,Food & Drinks,Spices_and_Sweets,854
jahe,ginger,Food & Drinks,Spices_and_Sweets,855
muffin,muffin,Food & Drinks,Spices_and_Sweets,856
donat,donut,Food & Drinks,Spices_and_Sweets,857
tepung terigu,flour,Food & Drinks,Spices_and_Sweets,858
madu,honey,Food & Drinks,Spices_and_Sweets,859
es krim,ice cream,Food & Drinks,Spices_and_Sweets,860
permen lolipop,lollipop,Food & Drinks,Spices_and_Sweets,861
lada,pepper,Food & Drinks,Spices_and_Sweets,862
garam,salt,Food & Drinks,Spices_and_Sweets,863
vanila,vanilla,Food & Drinks,Spices_and_Sweets,864
blender,blender,Food & Drinks,Cooking,950
kaleng,can,Food & Drinks,Cooking,951
buku masak,cookbook,Food & Drinks,Cooking,952
pembuka botol,corkscrew,Food & Drinks,Cooking,953
parutan,grater,Food & Drinks,Cooking,954
pemeras jus,juicer,Food & Drinks,Cooking,955
sendok sayur,ladle,Food & Drinks,Cooking,956
mixer,mixer,Food & Drinks,Cooking,957
wadah adonan,mixing bowl,Food & Drinks,Cooking,958
gilingan merica,pepper mill,Food & Drinks,Cooking,960
spons,sponge,Food & Drinks,Cooking,961
saringan,strainer,Food & Drinks,Cooking,962
termometer,thermometer,Food & Drinks,Cooking,963
alat pengatur waktu,timer,Food & Drinks,Cooking,964
pemanggang roti,toaster,Food & Drinks,Cooking,965
mengocok,whisk,Food & Drinks,Cooking,966
roti baguette,baguette,Food & Drinks,Pastries,1494
roti bulat,bun,Food & Drinks,Pastries,1496
permen,candy,Food & Drinks,Pastries,1497
biskuit,crackers,Food & Drinks,Pastries,1499
croissant,croissant,Food & Drinks,Pastries,1500
selai kacang,peanut butter,Food & Drinks,Pastries,1502
pai,pie,Food & Drinks,Pastries,1504
pizza,pizza,Food & Drinks,Pastries,1505
pretzel,pretzel,Food & Drinks,Pastries,1506
pelayan bar,barista,Food & Drinks,Tea_and_Coffee,1852
waktu seduh,brew time,Food & Drinks,Tea_and_Coffee,1853
biji kopi,coffee bean,Food & Drinks,Tea_and_Coffee,1855
penggiling kopi,coffee grinder,Food & Drinks,Tea_and_Coffee,1856
espreso,espresso,Food & Drinks,Tea_and_Coffee,1857
mesin espreso,espresso machine,Food & Drinks,Tea_and_Coffee,1858
penyaring kopi,filter coffee,Food & Drinks,Tea_and_Coffee,1859
French press,French press,Food & Drinks,Tea_and_Coffee,1860
latte,latte,Food & Drinks,Tea_and_Coffee,1863
kantong teh,tea bag,Food & Drinks,Tea_and_Coffee,1865
saringan teh,tea egg,Food & Drinks,Tea_and_Coffee,1866
daun teh,tea leaf,Food & Drinks,Tea_and_Coffee,1867
pepermin,peppermint,Food & Drinks,Herbs,3149
serai,lemongrass,Food & Drinks,Herbs,3150
rosemary,rosemary,Food & Drinks,Herbs,3152
sage,sage,Food & Drinks,Herbs,3153
cengkeh,clove,Food & Drinks,Herbs,3154
adas,fennel,Food & Drinks,Herbs,3155
ginseng,ginseng,Food & Drinks,Herbs,3157
spermin,spearmint,Food & Drinks,Herbs,3159
marjoram,marjoram,Food & Drinks,Herbs,3160
kunyit,saffron,Food & Drinks,Herbs,3161
lokio,chives,Food & Drinks,Herbs,3162
timi,thyme,Food & Drinks,Herbs,3163
mint,mint,Food & Drinks,Herbs,3164
alpukat,avocado,Food & Drinks,More_Vegetables,695
bawang prei,leek,Food & Drinks,More_Vegetables,3185
bok choy,bok choy,Food & Drinks,More_Vegetables,3189
artichoke,artichoke,Food & Drinks,More_Vegetables,3190
terong,eggplant,Food & Drinks,More_Vegetables,3191
kecambah,sprouts,Food & Drinks,More_Vegetables,3194
kale,kale,Food & Drinks,More_Vegetables,3195
ubi bit,beetroot,Food & Drinks,More_Vegetables,3196
kacang kedelai,soybeans,Food & Drinks,More_Vegetables,3198
zaitun,olive,Food & Drinks,Exotic_Fruits,686
markisa,passion fruit,Food & Drinks,Exotic_Fruits,3293
delima,pomegranate,Food & Drinks,Exotic_Fruits,3294
ara,fig,Food & Drinks,Exotic_Fruits,3295
mangga,mango,Food & Drinks,Exotic_Fruits,3296
durian,durian,Food & Drinks,Exotic_Fruits,3297
pepaya,papaya,Food & Drinks,Exotic_Fruits,3298
rhubarb,rhubarb,Food & Drinks,Exotic_Fruits,3301
kurma,date,Food & Drinks,Exotic_Fruits,3302
buah naga,dragon fruit,Food & Drinks,Exotic_Fruits,3305
salak,snake fruit,Food & Drinks,Exotic_Fruits,3306
pemeras buah,fruit press,Food & Drinks,Even_More_Cooking,3563
spatula,spatula,Food & Drinks,Even_More_Cooking,3564
parutan keju,cheese grater,Food & Drinks,Even_More_Cooking,3565
pembuka botol anggur,wine opener,Food & Drinks,Even_More_Cooking,3566
penjepit,tongs,Food & Drinks,Even_More_Cooking,3568
penekan bawang,garlic press,Food & Drinks,Even_More_Cooking,3569
gelas ukur,measuring cups,Food & Drinks,Even_More_Cooking,3570
timbangan dapur,kitchen scale,Food & Drinks,Even_More_Cooking,3571
sendok ukur,measuring spoons,Food & Drinks,Even_More_Cooking,3572
wajan,wok,Food & Drinks,Even_More_Cooking,3574
mustar,mustard,Food & Drinks,Even_More_Cooking,3575
sambal,ketchup,Food & Drinks,Even_More_Cooking,3576
sambal pedas,hot sauce,Food & Drinks,Even_More_Cooking,3577
kecap,soy sauce,Food & Drinks,Even_More_Cooking,3578
aku memarut,I grate,Food & Drinks,Even_More_Cooking,3579
aku mengoles,I spread,Food & Drinks,Even_More_Cooking,3580
makanan ringan,snack,Food & Drinks,Snacks,2882
bagel,bagel,Food & Drinks,Snacks,3689
kantong keripik,bag of chips,Food & Drinks,Snacks,3690
popcorn,popcorn,Food & Drinks,Snacks,3691
acar,pickle,Food & Drinks,Snacks,3692
nachos,nachos,Food & Drinks,Snacks,3693
milkshake,milkshake,Food & Drinks,Snacks,3694
dendeng sapi,beef jerky,Food & Drinks,Snacks,3695
buah kering,dried fruit,Food & Drinks,Snacks,3696
agar-agar,jelly,Food & Drinks,Snacks,3698
chips and dip,chips and dip,Food & Drinks,Snacks,3699
permen karet,chewing gum,Food & Drinks,Snacks,3703
puding,pudding,Food & Drinks,Snacks,3704
panekuk,pancake,Food & Drinks,Breakfast_Foods,3941
sereal,cereal,Food & Drinks,Breakfast_Foods,3942
wafel,waffle,Food & Drinks,Breakfast_Foods,3943
telur dadar,omelet,Food & Drinks,Breakfast_Foods,3944
granola bar,granola bar,Food & Drinks,Breakfast_Foods,3945
roti panggang,toast,Food & Drinks,Breakfast_Foods,3946
quiche,quiche,Food & Drinks,Breakfast_Foods,3948
brioche,brioche,Food & Drinks,Breakfast_Foods,3949
makanan,food,Food & Drinks,Foodie,6684
gambar,picture,Food & Drinks,Foodie,6685
panduan,guide,Food & Drinks,Foodie,6686
shake,shake,Food & Drinks,Foodie,6687
gagang,handle,Food & Drinks,Foodie,6688
tur,tour,Food & Drinks,Foodie,6690
makan,meal,Food & Drinks,Foodie,6692
tas,bag,Food & Drinks,Foodie,6693
paket,package,Food & Drinks,Foodie,6694
anggur,wine,Food & Drinks,Foodie,6695
cangkir,cup,Food & Drinks,Foodie,6696
harga,price,Food & Drinks,Foodie,6698
Aku mengantar,I deliver,Food & Drinks,Foodie,6689
Aku meratakan,I roll,Food & Drinks,Foodie,6691
ya,yes,Study with Amber,Essentials,1
tidak,no,Study with Amber,Essentials,2
oke,ok,Study with Amber,Essentials,3
hai,hi,Study with Amber,Essentials,4
terima kasih,thank you,Study with Amber,Essentials,5
sampai jumpa,bye,Study with Amber,Essentials,6
tolong,please,Study with Amber,Essentials,7
Aku,I,Study with Amber,Essentials,9
