cà phê,coffee,Food & Drinks,Drinks,25
cô ca,coke,Food & Drinks,Drinks,26
sô-cô-la nóng,hot chocolate,Food & Drinks,Drinks,27
uống,drink,Food & Drinks,Drinks,28
sữa,milk,Food & Drinks,Drinks,29
nước cam,orange juice,Food & Drinks,Drinks,31
sô đa,soda,Food & Drinks,Drinks,32
trà,tea,Food & Drinks,Drinks,33
nước,water,Food & Drinks,Drinks,34
nước dừa,coconut water,Food & Drinks,Drinks,1854
bánh mì,bread,Food & Drinks,Food,121
bữa sáng,breakfast,Food & Drinks,Food,122
trái cây,fruits,Food & Drinks,Food,123
phô mai,cheese,Food & Drinks,Food,124
trứng,egg,Food & Drinks,Food,125
cá,fish,Food & Drinks,Food,126
súp,soup,Food & Drinks,Food,128
thịt,meat,Food & Drinks,Food,132
đường,sugar,Food & Drinks,Food,134
rau trộn,salad,Food & Drinks,Food,135
sản phẩm từ sữa,dairy,Food & Drinks,Food,2879
bữa trưa,lunch,Food & Drinks,Food,2880
bữa tối,dinner,Food & Drinks,Food,2881
mang về,takeout,Food & Drinks,Food,2892
mận,plum,Food & Drinks,Fruits,678
kiwi,kiwi,Food & Drinks,Fruits,679
dưa bở,honeydew melon,Food & Drinks,Fruits,681
đào,peach,Food & Drinks,Fruits,682
anh đào,cherry,Food & Drinks,Fruits,683
táo,apple,Food & Drinks,Fruits,685
nho,grape,Food & Drinks,Fruits,690
dưa hấu,watermelon,Food & Drinks,Fruits,691
lê,pear,Food & Drinks,Fruits,692
chuối,banana,Food & Drinks,Fruits,694
dưa ruột vàng,cantaloupe,Food & Drinks,Fruits,3303
nấm,mushroom,Food & Drinks,Vegetables,129
cải xanh,broccoli,Food & Drinks,Vegetables,697
cải bắp,cabbage,Food & Drinks,Vegetables,698
súp lơ,cauliflower,Food & Drinks,Vegetables,700
ngô,corn,Food & Drinks,Vegetables,701
dưa chuột,cucumber,Food & Drinks,Vegetables,702
xà lách,lettuce,Food & Drinks,Vegetables,704
mùi tây,parsley,Food & Drinks,Vegetables,706
củ cải,radish,Food & Drinks,Vegetables,709
măng tây,asparagus,Food & Drinks,Vegetables,3186
đậu hà lan,pea,Food & Drinks,Vegetables,3187
cải bru-xen,brussels sprout,Food & Drinks,Vegetables,3188
hóa đơn,bill,Food & Drinks,Restaurant,730
chai,bottle,Food & Drinks,Restaurant,731
đồ chấm,condiments,Food & Drinks,Restaurant,733
đồ tráng miệng,dessert,Food & Drinks,Restaurant,734
thực đơn,menu,Food & Drinks,Restaurant,738
khăn ăn,napkin,Food & Drinks,Restaurant,739
