قهوة,coffee,Food & Drinks,Drinks,25
كولا,coke,Food & Drinks,Drinks,26
شكولاتة ساخنة,hot chocolate,Food & Drinks,Drinks,27
شراب,drink,Food & Drinks,Drinks,28
حليب,milk,Food & Drinks,Drinks,29
عصير البرتقال,orange juice,Food & Drinks,Drinks,31
الصودا,soda,Food & Drinks,Drinks,32
شاي,tea,Food & Drinks,Drinks,33
ماء,water,Food & Drinks,Drinks,34
ماء جوز الهند,coconut water,Food & Drinks,Drinks,1854
خبز,bread,Food & Drinks,Food,121
وجبة فطور,breakfast,Food & Drinks,Food,122
فواكه,fruits,Food & Drinks,Food,123
جُبن,cheese,Food & Drinks,Food,124
بيض,egg,Food & Drinks,Food,125
سمك,fish,Food & Drinks,Food,126
حساء,soup,Food & Drinks,Food,128
لحم,meat,Food & Drinks,Food,132
سكر,sugar,Food & Drinks,Food,134
سلطة,salad,Food & Drinks,Food,135
مشتقات الألبان,dairy,Food & Drinks,Food,2879
غداء,lunch,Food & Drinks,Food,2880
عشاء,dinner,Food & Drinks,Food,2881
طعام جاهز,takeout,Food & Drinks,Food,2892
برقوق,plum,Food & Drinks,Fruits,678
كيوي,kiwi,Food & Drinks,Fruits,679
شمام كوز العسل,honeydew melon,Food & Drinks,Fruits,681
خوخ,peach,Food & Drinks,Fruits,682
كرز,cherry,Food & Drinks,Fruits,683
تفاح,apple,Food & Drinks,Fruits,685
عنب,grape,Food & Drinks,Fruits,690
بطيخ,watermelon,Food & Drinks,Fruits,691
كمثرى,pear,Food & Drinks,Fruits,692
موز,banana,Food & Drinks,Fruits,694
شمام,cantaloupe,Food & Drinks,Fruits,3303
فطر,mushroom,Food & Drinks,Vegetables,129
بروكلي,broccoli,Food & Drinks,Vegetables,697
كرنب,cabbage,Food & Drinks,Vegetables,698
قرنبيط,cauliflower,Food & Drinks,Vegetables,700
ذرة,corn,Food & Drinks,Vegetables,701
خيار,cucumber,Food & Drinks,Vegetables,702
خس,lettuce,Food & Drinks,Vegetables,704
بقدونس,parsley,Food & Drinks,Vegetables,706
فجل,radish,Food & Drinks,Vegetables,709
الهليون,asparagus,Food & Drinks,Vegetables,3186
بازلاء,pea,Food & Drinks,Vegetables,3187
كرنب بروكسل,brussels sprout,Food & Drinks,Vegetables,3188
فاتورة,bill,Food & Drinks,Restaurant,730
زجاجة,bottle,Food & Drinks,Restaurant,731
التوابل,condiments,Food & Drinks,Restaurant,733
حلوى,dessert,Food & Drinks,Restaurant,734
قائمة الطعام,menu,Food & Drinks,Restaurant,738
منديل,napkin,Food & Drinks,Restaurant,739
طعام الشارع,street food,Food & Drinks,Restaurant,740
غطاء طاولة,tablecloth,Food & Drinks,Restaurant,741
بقشيش,tip,Food & Drinks,Restaurant,742
عود أسنان,toothpick,Food & Drinks,Restaurant,743
صينية,tray,Food & Drinks,Restaurant,744
لحم خنزير مقدد,bacon,Food & Drinks,More_Foods,764
زبدة,butter,Food & Drinks,More_Foods,765
لحم خنزير,ham,Food & Drinks,More_Foods,768
هامبورجر,hamburger,Food & Drinks,More_Foods,769
نقانق,hotdog,Food & Drinks,More_Foods,771
سمك السلمون,salmon,Food & Drinks,More_Foods,776
سجق,sausage,Food & Drinks,More_Foods,777
زبادي,yogurt,Food & Drinks,More_Foods,779
ريحان,basil,Food & Drinks,Spices_and_Sweets,848
كيكة,cake,Food & Drinks,Spices_and_Sweets,850
