le café,coffee,Food & Drinks,Drinks,25
le coca,coke,Food & Drinks,Drinks,26
le chocolat chaud,hot chocolate,Food & Drinks,Drinks,27
la boisson,drink,Food & Drinks,Drinks,28
le lait,milk,Food & Drinks,Drinks,29
le jus d'orange,orange juice,Food & Drinks,Drinks,31
le soda,soda,Food & Drinks,Drinks,32
le thé,tea,Food & Drinks,Drinks,33
l'eau,water,Food & Drinks,Drinks,34
l'eau de coco,coconut water,Food & Drinks,Drinks,1854
le pain,bread,Food & Drinks,Food,121
le petit déjeuner,breakfast,Food & Drinks,Food,122
les fruits,fruits,Food & Drinks,Food,123
le fromage,cheese,Food & Drinks,Food,124
l'œuf,egg,Food & Drinks,Food,125
le poisson,fish,Food & Drinks,Food,126
la soupe,soup,Food & Drinks,Food,128
la viande,meat,Food & Drinks,Food,132
le sucre,sugar,Food & Drinks,Food,134
la salade,salad,Food & Drinks,Food,135
les produits laitiers,dairy,Food & Drinks,Food,2879
le déjeuner,lunch,Food & Drinks,Food,2880
le dîner,dinner,Food & Drinks,Food,2881
le plat à emporter,takeout,Food & Drinks,Food,2892
la prune,plum,Food & Drinks,Fruits,678
le kiwi,kiwi,Food & Drinks,Fruits,679
le melon miel,honeydew melon,Food & Drinks,Fruits,681
la pêche,peach,Food & Drinks,Fruits,682
la cerise,cherry,Food & Drinks,Fruits,683
la pomme,apple,Food & Drinks,Fruits,685
le raisin,grape,Food & Drinks,Fruits,690
la pastèque,watermelon,Food & Drinks,Fruits,691
la poire,pear,Food & Drinks,Fruits,692
la banane,banana,Food & Drinks,Fruits,694
le melon,cantaloupe,Food & Drinks,Fruits,3303
le champignon,mushroom,Food & Drinks,Vegetables,129
le brocoli,broccoli,Food & Drinks,Vegetables,697
le chou,cabbage,Food & Drinks,Vegetables,698
le chou-fleur,cauliflower,Food & Drinks,Vegetables,700
le maïs,corn,Food & Drinks,Vegetables,701
le concombre,cucumber,Food & Drinks,Vegetables,702
la laitue,lettuce,Food & Drinks,Vegetables,704
le persil,parsley,Food & Drinks,Vegetables,706
le radis,radish,Food & Drinks,Vegetables,709
l'asperge,asparagus,Food & Drinks,Vegetables,3186
le pois,pea,Food & Drinks,Vegetables,3187
le chou de Bruxelles,brussels sprout,Food & Drinks,Vegetables,3188
l'addition,bill,Food & Drinks,Restaurant,730
la bouteille,bottle,Food & Drinks,Restaurant,731
les condiments,condiments,Food & Drinks,Restaurant,733
le dessert,dessert,Food & Drinks,Restaurant,734
le menu,menu,Food & Drinks,Restaurant,738
la serviette,napkin,Food & Drinks,Restaurant,739
la cuisine de rue,street food,Food & Drinks,Restaurant,740
la nappe,tablecloth,Food & Drinks,Restaurant,741
le pourboire,tip,Food & Drinks,Restaurant,742
le cure-dent,toothpick,Food & Drinks,Restaurant,743
le plateau,tray,Food & Drinks,Restaurant,744
le bacon,bacon,Food & Drinks,More_Foods,764
le beurre,butter,Food & Drinks,More_Foods,765
le jambon,ham,Food & Drinks,More_Foods,768
le hamburger,hamburger,Food & Drinks,More_Foods,769
le hot dog,hotdog,Food & Drinks,More_Foods,771
le saumon,salmon,Food & Drinks,More_Foods,776
la saucisse,sausage,Food & Drinks,More_Foods,777
le yaourt,yogurt,Food & Drinks,More_Foods,779
le basilic,basil,Food & Drinks,Spices_and_Sweets,848
le gâteau,cake,Food & Drinks,Spices_and_Sweets,850
le piment,chili,Food & Drinks,Spices_and_Sweets,851
le chocolat,chocolate,Food & Drinks,Spices_and_Sweets,852
la cannelle,cinnamon,Food & Drinks,Spices_and_Sweets,853
le gâteau sec,cookie,Food & Drinks,Spices_and_Sweets,854
le gingembre,ginger,Food & Drinks,Spices_and_Sweets,855
le muffin,muffin,Food & Drinks,Spices_and_Sweets,856
le beignet,donut,Food & Drinks,Spices_and_Sweets,857
la farine,flour,Food & Drinks,Spices_and_Sweets,858
le miel,honey,Food & Drinks,Spices_and_Sweets,859
la crème glacée,ice cream,Food & Drinks,Spices_and_Sweets,860
la sucette,lollipop,Food & Drinks,Spices_and_Sweets,861
le poivre,pepper,Food & Drinks,Spices_and_Sweets,862
le sel,salt,Food & Drinks,Spices_and_Sweets,863
la vanille,vanilla,Food & Drinks,Spices_and_Sweets,864
le blender,blender,Food & Drinks,Cooking,950
la boîte de conserve,can,Food & Drinks,Cooking,951
le livre de cuisine,cookbook,Food & Drinks,Cooking,952
le tire-bouchon,corkscrew,Food & Drinks,Cooking,953
la râpe,grater,Food & Drinks,Cooking,954
le presse-citron,juicer,Food & Drinks,Cooking,955
la louche,ladle,Food & Drinks,Cooking,956
le mixeur,mixer,Food & Drinks,Cooking,957
le cul-de-poule,mixing bowl,Food & Drinks,Cooking,958
le casse-noisette,nutcracker,Food & Drinks,Cooking,959
le moulin à poivre,pepper mill,Food & Drinks,Cooking,960
l'éponge,sponge,Food & Drinks,Cooking,961
la passoire,strainer,Food & Drinks,Cooking,962
le thermomètre,thermometer,Food & Drinks,Cooking,963
le minuteur,timer,Food & Drinks,Cooking,964
le grille-pain,toaster,Food & Drinks,Cooking,965
le fouet,whisk,Food & Drinks,Cooking,966
la baguette,baguette,Food & Drinks,Pastries,1494
le petit pain,bun,Food & Drinks,Pastries,1496
le bonbon,candy,Food & Drinks,Pastries,1497
les craquelins,crackers,Food & Drinks,Pastries,1499
le croissant,croissant,Food & Drinks,Pastries,1500
le beurre de cacahuètes,peanut butter,Food & Drinks,Pastries,1502
la tourte,pie,Food & Drinks,Pastries,1504
la pizza,pizza,Food & Drinks,Pastries,1505
le bretzel,pretzel,Food & Drinks,Pastries,1506
le scone,scone,Food & Drinks,Pastries,1509
le barista,barista,Food & Drinks,Tea_and_Coffee,1852
l'infusion,brew time,Food & Drinks,Tea_and_Coffee,1853
le grain de café,coffee bean,Food & Drinks,Tea_and_Coffee,1855
le moulin à café,coffee grinder,Food & Drinks,Tea_and_Coffee,1856
l'espresso,espresso,Food & Drinks,Tea_and_Coffee,1857
la machine à expresso,espresso machine,Food & Drinks,Tea_and_Coffee,1858
le café filtre,filter coffee,Food & Drinks,Tea_and_Coffee,1859
la cafetière à piston,French press,Food & Drinks,Tea_and_Coffee,1860
le café au lait,latte,Food & Drinks,Tea_and_Coffee,1863
le sachet de thé,tea bag,Food & Drinks,Tea_and_Coffee,1865
la boule à thé,tea egg,Food & Drinks,Tea_and_Coffee,1866
la feuille de thé,tea leaf,Food & Drinks,Tea_and_Coffee,1867
la menthe poivrée,peppermint,Food & Drinks,Herbs,3149
la citronnelle,lemongrass,Food & Drinks,Herbs,3150
le romarin,rosemary,Food & Drinks,Herbs,3152
la sauge,sage,Food & Drinks,Herbs,3153
le clou de girofle,clove,Food & Drinks,Herbs,3154
le fenouil,fennel,Food & Drinks,Herbs,3155
le ginseng,ginseng,Food & Drinks,Herbs,3157
la menthe verte,spearmint,Food & Drinks,Herbs,3159
la marjolaine,marjoram,Food & Drinks,Herbs,3160
le safran,saffron,Food & Drinks,Herbs,3161
la ciboulette,chives,Food & Drinks,Herbs,3162
le thym,thyme,Food & Drinks,Herbs,3163
la menthe,mint,Food & Drinks,Herbs,3164
l'avocat,avocado,Food & Drinks,More_Vegetables,695
le poireau,leek,Food & Drinks,More_Vegetables,3185
le pak-choï,bok choy,Food & Drinks,More_Vegetables,3189
l'artichaut,artichoke,Food & Drinks,More_Vegetables,3190
l'aubergine,eggplant,Food & Drinks,More_Vegetables,3191
le germe,sprouts,Food & Drinks,More_Vegetables,3194
le chou kale,kale,Food & Drinks,More_Vegetables,3195
la betterave rouge,beetroot,Food & Drinks,More_Vegetables,3196
les graines de soja,soybeans,Food & Drinks,More_Vegetables,3198
l'olive,olive,Food & Drinks,Exotic_Fruits,686
le fruit de la passion,passion fruit,Food & Drinks,Exotic_Fruits,3293
la grenade,pomegranate,Food & Drinks,Exotic_Fruits,3294
la figue,fig,Food & Drinks,Exotic_Fruits,3295
la mangue,mango,Food & Drinks,Exotic_Fruits,3296
le durian,durian,Food & Drinks,Exotic_Fruits,3297
la papaye,papaya,Food & Drinks,Exotic_Fruits,3298
la rhubarbe,rhubarb,Food & Drinks,Exotic_Fruits,3301
la datte,date,Food & Drinks,Exotic_Fruits,3302
le pitaya,dragon fruit,Food & Drinks,Exotic_Fruits,3305
le salak,snake fruit,Food & Drinks,Exotic_Fruits,3306
le presse-agrumes,fruit press,Food & Drinks,Even_More_Cooking,3563
la spatule,spatula,Food & Drinks,Even_More_Cooking,3564
la râpe à fromage,cheese grater,Food & Drinks,Even_More_Cooking,3565
le tire-bouchon,wine opener,Food & Drinks,Even_More_Cooking,3566
les pinces,tongs,Food & Drinks,Even_More_Cooking,3568
le presse-ail,garlic press,Food & Drinks,Even_More_Cooking,3569
les tasses à mesurer,measuring cups,Food & Drinks,Even_More_Cooking,3570
la balance de cuisine,kitchen scale,Food & Drinks,Even_More_Cooking,3571
les cuillères à mesurer,measuring spoons,Food & Drinks,Even_More_Cooking,3572
le wok,wok,Food & Drinks,Even_More_Cooking,3574
la moutarde,mustard,Food & Drinks,Even_More_Cooking,3575
le ketchup,ketchup,Food & Drinks,Even_More_Cooking,3576
la sauce piquante,hot sauce,Food & Drinks,Even_More_Cooking,3577
la sauce soja,soy sauce,Food & Drinks,Even_More_Cooking,3578
je râpe,I grate,Food & Drinks,Even_More_Cooking,3579
j'étale,I spread,Food & Drinks,Even_More_Cooking,3580
le goûter,snack,Food & Drinks,Snacks,2882
le bagel,bagel,Food & Drinks,Snacks,3689
le sac de chips,bag of chips,Food & Drinks,Snacks,3690
le pop-corn,popcorn,Food & Drinks,Snacks,3691
le cornichon,pickle,Food & Drinks,Snacks,3692
les nachos,nachos,Food & Drinks,Snacks,3693
le milk-shake,milkshake,Food & Drinks,Snacks,3694
la viande de bœuf séchée,beef jerky,Food & Drinks,Snacks,3695
le fruit sec,dried fruit,Food & Drinks,Snacks,3696
la gelée,jelly,Food & Drinks,Snacks,3698
les chips et la sauce,chips and dip,Food & Drinks,Snacks,3699
le chewing-gum,chewing gum,Food & Drinks,Snacks,3703
le pudding,pudding,Food & Drinks,Snacks,3704
la crêpe,pancake,Food & Drinks,Breakfast_Foods,3941
les céréales,cereal,Food & Drinks,Breakfast_Foods,3942
la gaufre,waffle,Food & Drinks,Breakfast_Foods,3943
l'omelette,omelet,Food & Drinks,Breakfast_Foods,3944
la barre de céréales,granola bar,Food & Drinks,Breakfast_Foods,3945
la tranche de pain grillé,toast,Food & Drinks,Breakfast_Foods,3946
la quiche,quiche,Food & Drinks,Breakfast_Foods,3948
la brioche,brioche,Food & Drinks,Breakfast_Foods,3949
la nourriture,food,Food & Drinks,Foodie,6684
la photo,picture,Food & Drinks,Foodie,6685
le guide,guide,Food & Drinks,Foodie,6686
le milk-shake,shake,Food & Drinks,Foodie,6687
la poignée,handle,Food & Drinks,Foodie,6688
l'excursion,tour,Food & Drinks,Foodie,6690
le repas,meal,Food & Drinks,Foodie,6692
le sac,bag,Food & Drinks,Foodie,6693
le colis,package,Food & Drinks,Foodie,6694
le vin,wine,Food & Drinks,Foodie,6695
la tasse,cup,Food & Drinks,Foodie,6696
le prix,price,Food & Drinks,Foodie,6698
je livre,I deliver,Food & Drinks,Foodie,6689
j'abaisse la pâte,I roll,Food & Drinks,Foodie,6691
oui,yes,Study with Amber,Essentials,1
non,no,Study with Amber,Essentials,2
d'accord,ok,Study with Amber,Essentials,3
bonjour,hi,Study with Amber,Essentials,4
merci,thank you,Study with Amber,Essentials,5
au revoir,bye,Study with Amber,Essentials,6
s'il vous plaît,please,Study with Amber,Essentials,7
je,I,Study with Amber,Essentials,9
et,and,Study with Amber,Essentials,16
ou,or,Study with Amber,Essentials,17
ceci,this,Study with Amber,Essentials,18
le café,coffee,Study with Amber,Drinks,25
le coca,coke,Study with Amber,Drinks,26
le chocolat chaud,hot chocolate,Study with Amber,Drinks,27
la boisson,drink,Study with Amber,Drinks,28
le lait,milk,Study with Amber,Drinks,29
le jus d'orange,orange juice,Study with Amber,Drinks,31
le soda,soda,Study with Amber,Drinks,32
le thé,tea,Study with Amber,Drinks,33
l'eau,water,Study with Amber,Drinks,34
l'eau de coco,coconut water,Study with Amber,Drinks,1854
zéro,zero,Study with Amber,Numbers,41
un,one,Study with Amber,Numbers,42
deux,two,Study with Amber,Numbers,43
trois,three,Study with Amber,Numbers,44
quatre,four,Study with Amber,Numbers,45
cinq,five,Study with Amber,Numbers,46
six,six,Study with Amber,Numbers,47
sept,seven,Study with Amber,Numbers,48
huit,eight,Study with Amber,Numbers,49
neuf,nine,Study with Amber,Numbers,50
dix,ten,Study with Amber,Numbers,51
onze,eleven,Study with Amber,Numbers,52
douze,twelve,Study with Amber,Numbers,53
vingt,twenty,Study with Amber,Numbers,54
cent,hundred,Study with Amber,Numbers,55
je pense,I think,Study with Amber,Numbers,56
je compte,I count,Study with Amber,Numbers,58
le pain,bread,Study with Amber,Food,121
le petit déjeuner,breakfast,Study with Amber,Food,122
les fruits,fruits,Study with Amber,Food,123
le fromage,cheese,Study with Amber,Food,124
l'œuf,egg,Study with Amber,Food,125
le poisson,fish,Study with Amber,Food,126
la soupe,soup,Study with Amber,Food,128
la viande,meat,Study with Amber,Food,132
le sucre,sugar,Study with Amber,Food,134
la salade,salad,Study with Amber,Food,135
les produits laitiers,dairy,Study with Amber,Food,2879
le déjeuner,lunch,Study with Amber,Food,2880
le dîner,dinner,Study with Amber,Food,2881
le plat à emporter,takeout,Study with Amber,Food,2892
les cartes,cards,Study with Amber,Fun,401
le cinéma,cinema,Study with Amber,Fun,403
le concert,concert,Study with Amber,Fun,404
l'exposition,exhibition,Study with Amber,Fun,405
le journal,newspaper,Study with Amber,Fun,406
la fête,party,Study with Amber,Fun,407
le match,match,Study with Amber,Fun,409
la discussion,chat,Study with Amber,Fun,410
les jeux vidéo,video games,Study with Amber,Fun,411
le restaurant,restaurant,Study with Amber,Fun,412
le tourisme,sightseeing,Study with Amber,Fun,414
la danse,dance,Study with Amber,Fun,415
le corps,body,Study with Amber,Body,421
la tête,head,Study with Amber,Body,422
