kofe,coffee,Food & Drinks,Drinks,25
coke,coke,Food & Drinks,Drinks,26
koko vevela,hot chocolate,Food & Drinks,Drinks,27
inu,drink,Food & Drinks,Drinks,28
susu,milk,Food & Drinks,Drinks,29
vai suamoli,orange juice,Food & Drinks,Drinks,31
apa inu,soda,Food & Drinks,Drinks,32
ti,tea,Food & Drinks,Drinks,33
vai,water,Food & Drinks,Drinks,34
suāniu,coconut water,Food & Drinks,Drinks,1854
falaoa,bread,Food & Drinks,Food,121
aiga o le taeao,breakfast,Food & Drinks,Food,122
fuāla'au 'aina suamalie,fruits,Food & Drinks,Food,123
sisi,cheese,Food & Drinks,Food,124
fuāmoa,egg,Food & Drinks,Food,125
i'a,fish,Food & Drinks,Food,126
supo,soup,Food & Drinks,Food,128
a'ano manufasi,meat,Food & Drinks,Food,132
suka,sugar,Food & Drinks,Food,134
salati,salad,Food & Drinks,Food,135
mea'ai fai i susu,dairy,Food & Drinks,Food,2879
aiga o le aoauli,lunch,Food & Drinks,Food,2880
aiga o le afiafi,dinner,Food & Drinks,Food,2881
mea 'ai ave i fafo,takeout,Food & Drinks,Food,2892
palamu,plum,Food & Drinks,Fruits,678
kiwi,kiwi,Food & Drinks,Fruits,679
meleni pa'epa'e,honeydew melon,Food & Drinks,Fruits,681
peach,peach,Food & Drinks,Fruits,682
cherry,cherry,Food & Drinks,Fruits,683
apu,apple,Food & Drinks,Fruits,685
vine,grape,Food & Drinks,Fruits,690
meleni,watermelon,Food & Drinks,Fruits,691
pea,pear,Food & Drinks,Fruits,692
fa'i otā,banana,Food & Drinks,Fruits,694
pulou āitu,mushroom,Food & Drinks,Vegetables,129
porokolī,broccoli,Food & Drinks,Vegetables,697
kapisi,cabbage,Food & Drinks,Vegetables,698
kolifalaoa,cauliflower,Food & Drinks,Vegetables,700
sana,corn,Food & Drinks,Vegetables,701
kukama,cucumber,Food & Drinks,Vegetables,702
latisi lau,lettuce,Food & Drinks,Vegetables,704
pasilī,parsley,Food & Drinks,Vegetables,706
latisi a'a,radish,Food & Drinks,Vegetables,709
pi,pea,Food & Drinks,Vegetables,3187
